tiempo_copia_H2D,tiempo_computo,tiempo_copia_D2H,tiempo_total
1.3368,410.231,2070.45,2482.02
1.55072,411.698,2195.08,2608.33
1.46362,406.562,1722.68,2130.71
1.43386,417.332,1528.03,1946.79
2.24784,407.804,1824.56,2234.62
1.32755,427.947,1701.87,2131.15
1.39389,408.559,1566.8,1976.75
1.40659,416.962,1687.48,2105.85
1.28547,414.614,1546.06,1961.96
1.32867,413.553,1576.73,1991.61
1.37939,406.522,1623.84,2031.75
2.64464,407.465,1838.29,2248.4
1.58339,412.774,1583.82,1998.18
1.37213,405.065,1554.17,1960.61
1.34038,414.931,1372.9,1789.17
1.43738,409.273,1275.54,1686.25
2.13296,412.243,2023.87,2438.25
1.93354,416.974,1710.69,2129.6
1.60019,413.842,1796.15,2211.59
2.11981,417.045,1801.25,2220.42
1.91843,407.799,1718.4,2128.12
1.34099,420.562,1861.83,2283.73
1.85168,420.151,1748.88,2170.89
1.55274,415.935,1940.89,2358.38
1.48733,409.147,1556,1966.64
1.80829,409.978,1745.14,2156.93
1.3439,407.712,1528.59,1937.64
1.77066,417.248,1624.28,2043.29
1.27699,407.417,1492.97,1901.66
1.33405,409.574,1663,2073.91
1.36576,409.941,1394.77,1806.08
1.57069,417.175,1722.34,2141.08
